term_en,term_vi,domain,subdomain,parent_term_en,synonyms_en,definition_en,definition_vi
CPU,CPU,computer_science,computer_architecture,computer science,central processing unit,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
GPU,GPU,computer_science,computer_architecture,computer science,graphics processing unit,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
ALU,bộ số học và logic,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
register,thanh ghi,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
pipeline,đường ống lệnh,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
superscalar,siêu vô hướng,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
branch prediction,dự đoán nhánh,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
cache memory,bộ nhớ đệm,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
main memory,bộ nhớ chính,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
bus,bus,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
parallel computing,tính toán song song,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
multicore processor,bộ xử lý đa lõi,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
SIMD,SIMD,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
throughput computing,tính toán thông lượng,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
compiler,trình biên dịch,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
interpreter,trình thông dịch,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
type system,hệ kiểu,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
formal language,ngôn ngữ hình thức,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
automata theory,lý thuyết ô tô mát,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
computability,khả năng tính toán,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
complexity class,lớp độ phức tạp,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
NP-completeness,tính NP-đầy đủ,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
Turing machine,máy Turing,computer_science,computer_architecture,computer science,,A term in computer architecture within computer science.,Thuật ngữ thuộc nhóm computer architecture trong lĩnh vực computer science.
